osgb,age,AMD_wall,AMD_roof,AMD_ground_floor,AMD_ceiling,AMD_floor,AMD_partition,AMD_glazing,AMD_glazing_ratio
37_00084_0019,70,,,,,,,,
37_00084_0013,70,,,,,,,,
37_00084_0014,70,,,,,,,,
37_00084_0015,70,,,,,,,,
37_00251_0024,40,,,,,,,,
37_00084_0016,70,,,,,,,,
37_00251_0025,40,,,,,,,,
37_00084_0009,70,,,,,,,,
37_00251_0026,40,,,,,,,,
37_00251_0027,40,,,,,,,,
37_00084_0012,70,,,,,,,,
37_00085_0007,40,,,,,,,,
37_00085_0003,40,,,,,,,,
37_00085_0004,40,,,,,,,,
37_00085_0005,40,,,,,,,,
37_00085_0006,40,,,,,,,,
37_00085_0001,40,,,,,,,,
37_00085_0002,45,,,,,,,,
37_00084_0027,70,,,,,,,,
37_00051_0479,60,,,,,,,,
37_00293_0004,47,,,,,,,,
37_00293_0005,50,,,,,,,,
37_00293_0006,47,,,,,,,,
37_00293_0007,47,,,,,,,,
37_00293_0001,52,,,,,,,,
37_00293_0002,47,,,,,,,,
37_00293_0003,47,,,,,,,,
37_00294_0009,50,,,,,,,,
37_00294_0010,50,,,,,,,,
37_00294_0011,50,,,,,,,,
37_00294_0012,50,,,,,,,,
37_00294_0005,50,,,,,,,,
37_00294_0006,50,,,,,,,,
37_00294_0007,50,,,,,,,,
37_00294_0008,50,,,,,,,,
37_00294_0001,50,,,,,,,,
37_00294_0002,50,,,,,,,,
37_00294_0003,50,,,,,,,,
37_00294_0004,50,,,,,,,,
37_00293_0008,47,,,,,,,,
37_00293_0009,47,,,,,,,,
37_00293_0010,47,,,,,,,,
37_00293_0011,47,,,,,,,,
37_00296_0006,9,,,,,,,,
37_00296_0007,9,,,,,,,,
37_00296_0008,9,,,,,,,,
37_00296_0009,47,,,,,,,,
37_00296_0002,30,,,,,,,,
37_00296_0003,30,,,,,,,,
37_00296_0004,30,,,,,,,,
37_00296_0005,30,,,,,,,,
37_00294_0017,50,,,,,,,,
37_00294_0018,50,,,,,,,,
37_00295_0001,50,,,,,,,,
37_00296_0001,30,,,,,,,,
37_00294_0013,50,,,,,,,,
37_00294_0014,50,,,,,,,,
37_00294_0015,50,,,,,,,,
37_00294_0016,50,,,,,,,,
37_00296_0010,47,,,,,,,,
37_00296_0011,33,,,,,,,,
37_00296_0012,33,,,,,,,,
37_00074_0001,9,,,,,,,,
37_00249_0001,30,,,,,,,,
37_00074_0002,9,,,,,,,,
37_00249_0002,40,,,,,,,,
37_00074_0003,9,,,,,,,,
37_00074_0004,9,,,,,,,,
37_00251_0004,40,,,,,,,,
37_00251_0005,40,,,,,,,,
37_00075_0012,30,,,,,,,,
37_00251_0006,40,,,,,,,,
37_00075_0013,78,,,,,,,,
37_00251_0007,40,,,,,,,,
37_00075_0014,63,,,,,,,,
37_00250_0006,40,,,,,,,,
37_00075_0015,9,,,,,,,,
37_00251_0001,40,,,,,,,,
37_00075_0008,70,,,,,,,,
37_00251_0002,40,,,,,,,,
37_00075_0009,18,,,,,,,,
37_00251_0003,40,,,,,,,,
37_00075_0010,30,,,,,,,,
37_00250_0002,40,,,,,,,,
37_00075_0011,30,,,,,,,,
37_00250_0003,40,,,,,,,,
37_00075_0004,60,,,,,,,,
37_00250_0004,40,,,,,,,,
37_00075_0005,63,,,,,,,,
37_00250_0005,42,,,,,,,,
37_00075_0006,60,,,,,,,,
37_00249_0003,30,,,,,,,,
37_00075_0007,60,,,,,,,,
37_00249_0004,30,,,,,,,,
37_00074_0005,9,,,,,,,,
37_00249_0005,30,,,,,,,,
37_00075_0001,9,,,,,,,,
37_00250_0001,40,,,,,,,,
37_00075_0002,9,,,,,,,,
37_00075_0003,30,,,,,,,,
37_00251_0020,40,,,,,,,,
37_00251_0021,40,,,,,,,,
37_00084_0005,20,,,,,,,,
37_00251_0022,40,,,,,,,,
37_00251_0023,40,,,,,,,,
37_00084_0007,70,,,,,,,,
37_00251_0016,40,,,,,,,,
37_00084_0008,70,,,,,,,,
37_00251_0017,40,,,,,,,,
37_00251_0018,40,,,,,,,,
37_00251_0019,40,,,,,,,,
37_00084_0003,20,,,,,,,,
37_00251_0012,40,,,,,,,,
37_00084_0004,20,,,,,,,,
37_00251_0013,40,,,,,,,,
37_00251_0014,40,,,,,,,,
37_00251_0015,40,,,,,,,,
37_00251_0008,40,,,,,,,,
37_00251_0009,40,,,,,,,,
37_00075_0016,12,,,,,,,,
37_00251_0010,40,,,,,,,,
37_00075_0017,30,,,,,,,,
37_00251_0011,40,,,,,,,,